Student,LPIPS,SSIM
113590042.png,0.0,1.0
113590002.png,0.3406749665737152,0.6135142873618775
112590455.png,0.376914381980896,0.5886094855258351
113590036.png,0.37730294466018677,0.551782025034136
113590039.png,0.3893892168998718,0.5907812038103207
113590451.png,0.3900001645088196,0.6012905482300828
113590001.png,0.3920843303203583,0.546884243686536
113590052.png,0.4017276167869568,0.5746753051179944
111590028.png,0.4067767858505249,0.6155466371448072
111590062.png,0.40703025460243225,0.5767208236760214
113590018.png,0.41412460803985596,0.5650157895603847
113590015.png,0.4153861403465271,0.563422352314212
110590455.png,0.41603344678878784,0.5914628305998161
113590021.png,0.4160606265068054,0.5337382053889472
113590031.png,0.4165712594985962,0.5790031799421299
113590006.png,0.41736745834350586,0.5120445982431084
113590051.png,0.41738975048065186,0.5901374817916741
111590047.png,0.42007601261138916,0.600853823286987
113590003.png,0.42010611295700073,0.5948752740239157
112590454.png,0.42107918858528137,0.5773773927045864
113590047.png,0.4250972270965576,0.6472586331052175
113590011.png,0.42585793137550354,0.5712700968726765
113370239.png,0.4269692599773407,0.5696476560833108
112590040.png,0.4272436499595642,0.5109253448166912
113590028.png,0.42724600434303284,0.5218308157327535
113590060.png,0.4275127053260803,0.5996105996252502
113590022.png,0.4277987480163574,0.5623070693350202
113590061.png,0.42878466844558716,0.5570370874778493
113590050.png,0.4293784499168396,0.4902848715808325
113590045.png,0.4308125972747803,0.5175649336756285
113590055.png,0.43263906240463257,0.5854660205164555
113590450.png,0.43328338861465454,0.5913495822347199
113590033.png,0.43477287888526917,0.5843620243079926
113590059.png,0.43509119749069214,0.5303952781227985
113590029.png,0.4356442093849182,0.4917279838155994
113590026.png,0.43615707755088806,0.5842924664199791
113590062.png,0.438168466091156,0.5093189784169098
113590032.png,0.4394177496433258,0.5877503019147374
114054809.png,0.44296765327453613,0.574686915163513
112590452.png,0.44376611709594727,0.5456049867534705
113590044.png,0.4464260935783386,0.5328027381137537
113590023.png,0.44955867528915405,0.4829300255931837
113590005.png,0.45080476999282837,0.6240542474750239
113AB0018.png,0.45136046409606934,0.5211913035362615
113590043.png,0.4524129033088684,0.6626064592249279
113590004.png,0.4555491507053375,0.633616442366714
113590025.png,0.45959892868995667,0.6600470438178814
113590056.png,0.46945372223854065,0.55913983828965
113590040.png,0.4738544225692749,0.5661414625281697
113AC1012.png,0.4753716289997101,0.5611679848969432
111590042.png,0.4755547046661377,0.6741399483327287
113590049.png,0.47626152634620667,0.46678551238150745
112590058.jpg,0.48805731534957886,0.3896947029794507
113590057.png,0.49605074524879456,0.5298327181509992
113590013.png,0.4964596927165985,0.37202286178332294
113590010.png,0.49845027923583984,0.5160609537337597
113590008.png,0.5101037621498108,0.39399081959708065
111590455.png,0.540540337562561,0.45645674681474196
